instrument_id,stable_provision_id,parent_stable_provision_id,article,structural_kind
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(1),,27(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(2),,27(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(3),,27(3),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(4):adopt-national-programme,,27(4):adopt-national-programme,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(4):prepare-national-proposal,,27(4):prepare-national-proposal,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(4):publish-national-programme,,27(4):publish-national-programme,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(5),,27(5),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(6):transmit-adopted-programme,,27(6):transmit-adopted-programme,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(6):transmit-prior-year-results,,27(6):transmit-prior-year-results,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(7),,27(7),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(8):access-sipp-data,,27(8):access-sipp-data,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(8):contribute-additional-data,,27(8):contribute-additional-data,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.27(9),,27(9),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.28(1),,28(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.28(2),,28(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.28(3),,28(3),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.28(4),,28(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.28(5),,28(5),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.29(1),,29(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.29(2),,29(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.30(1),,30(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.30(2),,30(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(1),,31(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(2),,31(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(3):eradication-regime,,31(3):eradication-regime,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(3):establish-demarcated-area,,31(3):establish-demarcated-area,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(4),,31(4),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(5):committee-action-plan-approval,,31(5):committee-action-plan-approval,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(5):regional-action-plan-proposal,,31(5):regional-action-plan-proposal,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(6):adopt-action-plan,,31(6):adopt-action-plan,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(6):declare-emergency,,31(6):declare-emergency,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(6):notify-commission,,31(6):notify-commission,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(7),,31(7),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(8):establish-territorial-unit,,31(8):establish-territorial-unit,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(8):implement-action-plan-measures,,31(8):implement-action-plan-measures,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(9):modify-area-if-necessary,,31(9):modify-area-if-necessary,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(9):periodic-area-surveys,,31(9):periodic-area-surveys,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.31(9):report-area-information,,31(9):report-area-information,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(1),,32(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(2),,32(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(3):determine-completion-costs,,32(3):determine-completion-costs,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(3):primary-implementation,,32(3):primary-implementation,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(3):recovery-right,,32(3):recovery-right,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.32(3):substitute-execution,,32(3):substitute-execution,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.33(1):emergency-measure-derogation,,33(1):emergency-measure-derogation,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.33(1):uninfected-protected-plant-removal,,33(1):uninfected-protected-plant-removal,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.33(2):authorized-land-access,,33(2):authorized-land-access,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.33(2):communication-method-and-terms,,33(2):communication-method-and-terms,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.33(2):public-force-assistance,,33(2):public-force-assistance,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.5(1),,5(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.5(4)(e),IT-DLGS-19-2021:Art.5(4)-stem,5(4)(e),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.5(4)(f),IT-DLGS-19-2021:Art.5(4)-stem,5(4)(f),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.5(4)(g),IT-DLGS-19-2021:Art.5(4)-stem,5(4)(g),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.5(4)-stem,,5(4),stem
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(13):coercive-removal,,55(13):coercive-removal,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(13):coercive-removal-costs,,55(13):coercive-removal-costs,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(13):obstruction-sanction,,55(13):obstruction-sanction,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(13):omitted-removal-sanction,,55(13):omitted-removal-sanction,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(15),,55(15),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(25),,55(25),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(29),,55(29),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(30):regional-sanction-competence,,55(30):regional-sanction-competence,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.55(9):notification-violation,,55(9):notification-violation,paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.6(1),,6(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.6(3)(b),IT-DLGS-19-2021:Art.6(3)-stem,6(3)(b),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.6(3)(g),IT-DLGS-19-2021:Art.6(3)-stem,6(3)(g),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.6(3)(o),IT-DLGS-19-2021:Art.6(3)-stem,6(3)(o),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.6(3)-stem,,6(3),stem
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.7(3)(c),IT-DLGS-19-2021:Art.7(3)-stem,7(3)(c),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.7(3)-stem,,7(3),stem
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.7(5),,7(5),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.8(1),,8(1),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.8(2)(c),IT-DLGS-19-2021:Art.8(1),8(2)(c),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.9(2),,9(2),paragraph
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.9(4)(a),,9(4)(a),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.9(4)(c),,9(4)(c),point
IT-DLGS-19-2021,IT-DLGS-19-2021:Art.9(5),,9(5),paragraph
IT-DLGS42-A146,IT-DLGS42-A146:Art.146(2),,146(2),paragraph
IT-DLGS42-A146,IT-DLGS42-A146:Art.146(5):regional-decision-owner,,146(5):regional-decision-owner,paragraph
IT-DLGS42-A146,IT-DLGS42-A146:Art.146(8):superintendent-opinion,,146(8):superintendent-opinion,paragraph
IT-DM-0677268-2021,IT-DM-0677268-2021:Art.1(1):CREA-DC-Firenze-designation,,1(1):CREA-DC-Firenze-designation,point
IT-DM-0677268-2021,IT-DM-0677268-2021:Art.1(1):CREA-DC-Roma-designation,,1(1):CREA-DC-Roma-designation,point
IT-DM-0677268-2021,IT-DM-0677268-2021:Art.2(1):entry-into-force,,2(1):entry-into-force,paragraph
IT-DM-0677268-2021,IT-DM-0677268-2021:Art.2(1):operate-within-competence,,2(1):operate-within-competence,paragraph
IT-DM-0677268-2021,IT-DM-0677268-2021:Art.2(1):publication-event,,Art.2(1) publication event,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.10(3):timely-analysis,,10(3):timely-analysis,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.10(5):issue-test-report,,10(5):issue-test-report,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.10(5):retain-analytical-data,,10(5):retain-analytical-data,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.10(6):cross-region-convention,,10(6):cross-region-convention,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(1):official-laboratory-designation,,11(1):official-laboratory-designation,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(2):monitor-official-laboratories,,11(2):monitor-official-laboratories,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(2):suspend-or-revoke,,11(2):suspend-or-revoke,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(3):cfn-audit-suspension-route,,11(3):cfn-audit-suspension-route,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(6):adapt-to-annex-iii,,11(6):adapt-to-annex-iii,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.11(6):notify-adaptation,,11(6):notify-adaptation,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.14(3):research-laboratory-notification,,14(3):research-laboratory-notification,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.18(3):self-control-laboratory-notification,,18(3):self-control-laboratory-notification,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.3(2):official-sample-laboratory-class,,3(2):official-sample-laboratory-class,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.3(3):research-output-class,,3(3):research-output-class,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.3(4):self-control-output-class,,3(4):self-control-output-class,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.30(3):unvalidated-eppo-classification,,30(3):unvalidated-eppo-classification,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.30(3):urgent-nonnormalized-method,,30(3):urgent-nonnormalized-method,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.30:official-method-selection,,30(1)-(2):official-method-selection,composite
IT-DM-169819-2022,IT-DM-169819-2022:Art.5:national-reference-minimum-qualification,,5:national-reference-minimum-qualification,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(10):ministerial-revocation,,7(10):ministerial-revocation,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(11):cessation-notice,,7(11):cessation-notice,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(11):revocation-after-cessation-notice,,7(11):revocation-after-cessation-notice,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(4):national-reference-designation,,7(4):national-reference-designation,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(5):multiple-laboratories-per-competence,,7(5):multiple-laboratories-per-competence,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(8):discretionary-suspension,,7(8):discretionary-suspension,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.7(9):serious-nonconformity-suspension,,7(9):serious-nonconformity-suspension,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.8(2):eligible-official-laboratory-classes,,8(2):eligible-official-laboratory-classes,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.8(3):out-of-region-official-laboratory,,8(3):out-of-region-official-laboratory,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.8(4):preexisting-designation-continuity,,8(4):preexisting-designation-continuity,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:Art.9(1):official-laboratory-minimum-qualification,,9(1):official-laboratory-minimum-qualification,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:entry-into-force,,entry-into-force,paragraph
IT-DM-169819-2022,IT-DM-169819-2022:publication,,publication,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:Art.1:adoption,,1:adoption,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.2:action-plan-15-working-days,,§6.2,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.4:communicate-no-demarcation,,§6.4:communicate-no-demarcation,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.4:no-demarcation-two-year-follow-up,,§6.4,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.5:containment-buffer-5km,,§6.5,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.6.2:containment-vector-treatment-band-5km,,§6.6.2,paragraph
IT-DM-2022-XYLELLA-PLAN,IT-DM-2022-XYLELLA-PLAN:§6.7:containment-surveillance-band-5km,,§6.7,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:Art.1(1):adoption,,1(1):adoption,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:Art.2(1):replace-2022-plan,,2(1):replace-2022-plan,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§14:annual-review,,§14:annual-review,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§8.2:action-plan-15-day-unit-conflict,,§8.2,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§8.5:communicate-no-demarcation,,§8.5:communicate-no-demarcation,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§8.5:no-demarcation-surveillance,,§8.5:no-demarcation-surveillance,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§8.6:area-composition,,§8.6:area-composition,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§9.2:containment-vector-treatment-coverage,,§9.2,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§9.3:containment-surveillance-band-2km,,§9.3,paragraph
IT-DM-348260-2026-XYLELLA-PLAN,IT-DM-348260-2026-XYLELLA-PLAN:§9.3:eradication-vector-investigation,,§9.3,paragraph
IT-DTU39-REV1,IT-DTU39-REV1:official-technical-instruction,,Preamble:official-technical-instruction,composite
IT-DTU39-REV1,IT-DTU39-REV1:§4.2:sample-transfer,,§4.2:sample-transfer,paragraph
IT-DTU39-REV1,IT-DTU39-REV1:§4:risk-based-sampling,,§4:risk-based-sampling,paragraph
IT-DTU39-REV1,IT-DTU39-REV1:§5.4:inconclusive-result-routing,,§5.4:inconclusive-result-routing,composite
IT-DTU39-REV1,IT-DTU39-REV1:§5.4:pest-free-positive-confirmation,,§5.4:pest-free-positive-confirmation,paragraph
IT-DTU39-REV1,IT-DTU39-REV1:§5:diagnostic-method-routing,,§5:diagnostic-method-routing,composite
IT-DTU8-REV2,IT-DTU8-REV2:official-laboratory-route-and-continuing-status,,route and continuing status,composite
IT-L241-A21BIS,IT-L241-A21BIS:Art.21-bis(1):individual-communication-effect,,21-bis(1):individual-communication-effect,paragraph
IT-L241-A21BIS,IT-L241-A21BIS:Art.21-bis(1):mass-publicity-route,,21-bis(1):mass-publicity-route,paragraph
IT-L241-A21BIS,IT-L241-A21BIS:Art.21-bis(1):motivated-immediate-effect,,21-bis(1):motivated-immediate-effect,paragraph
IT-L241-A21BIS,IT-L241-A21BIS:Art.21-bis(1):urgent-cautionary-effect,,21-bis(1):urgent-cautionary-effect,paragraph
IT-L241-A21TER,IT-L241-A21TER:Art.21-ter(1):stated-term-coercive-direction,,21-ter(1):stated-term-coercive-direction,paragraph
IT-L689-1981,IT-L689-1981:Art.13:violation-evidence-collection,,13:violation-evidence-collection,paragraph
IT-L689-1981,IT-L689-1981:Art.14:immediate-contest,,14:immediate-contest,paragraph
IT-L689-1981,IT-L689-1981:Art.14:later-notification,,14:later-notification,paragraph
IT-L689-1981,IT-L689-1981:Art.14:untimely-notification-extinction,,14:untimely-notification-extinction,paragraph
IT-L689-1981,IT-L689-1981:Art.16:reduced-payment,,16:reduced-payment,paragraph
IT-L689-1981,IT-L689-1981:Art.17:violation-report,,17:violation-report,paragraph
IT-L689-1981,IT-L689-1981:Art.18:adjudication-process,,18:adjudication-process,paragraph
IT-L689-1981,IT-L689-1981:Art.18:defence-and-hearing-request,,18:defence-and-hearing-request,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.3(1):national-service-exclusive-competence,,3(1):national-service-exclusive-competence,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.4(1):exclusive-accredited-official-analysis,,4(1):exclusive-accredited-official-analysis,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.4(2):accredited-capacity,,4(2):accredited-capacity,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.4(2):designation,,4(2):designation,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.5(1):external-designation,,5(1):external-designation,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.5(1):external-use,,5(1):external-use,paragraph
IT-ORD10-2025,IT-ORD10-2025:Art.6(2):external-laboratory-continuing-compliance,,6(2):external-laboratory-continuing-compliance,paragraph
IT-ORD10-2025,IT-ORD10-2025:effect-from-adoption,,effect-from-adoption,paragraph
IT-PNI-2026,IT-PNI-2026:Xylella:Puglia-plant-survey-design,,Xylella RiPEST:Puglia plant-survey design,composite
IT-PNI-2026,IT-PNI-2026:adoption-and-publication-status,,adoption-and-publication-status,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:Art7(3)-policy,,plan Article 7(3) policy,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:Convention-3.1:arif-surveillance-communication,,Convention 3.1,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:Convention-3.1:osservatorio-survey-control,,Convention 3.1,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.10:survey-design,,4.1.10,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.1:survey-method,,4.1.1,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.2:survey-design,,4.1.2,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.3:survey-design,,4.1.3,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.4:survey-design,,4.1.4,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.5:survey-design,,4.1.5,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.6:survey-design,,4.1.6,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.7:survey-design,,4.1.7,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.8:survey-design,,4.1.8,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.1.9:survey-design,,4.1.9,composite
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.2.1:pest-free-extent-investigation,,§4.2.1(3) pest-free follow-on extent investigation,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.2.1:post-finding-hectare-surveillance,,§4.2.1(2) post-finding hectare coverage,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.2.2:st53-post-finding-sampling,,§4.2.2 ST53 post-finding inner sampling,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.3.2:almond-pre-removal-vector-treatment,,§4.3.2:almond-pre-removal-vector-treatment,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.3.2:mandatory-almond-400m,,§4.3.2:mandatory-almond-400m,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.4:periodic-finding-notification-update,,§4.4 existing infected-plant notification updates,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:owner-election-execution,,§4.5:owner-election-execution,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:owner-evidence,,§4.5:owner-evidence,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:prescription,,§4.5:prescription,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:recipient-notice-route,,§4.5:recipient-notice-route,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:refusal-route,,§4.5:refusal-route,paragraph
PUG-DGR1075-2025,PUG-DGR1075-2025:§4.5:silence-route,,§4.5:silence-route,paragraph
PUG-DGR1593-2024,PUG-DGR1593-2024:Art7(3)-policy,,plan Article 7(3) policy,paragraph
PUG-DGR1593-2024,PUG-DGR1593-2024:notice-elected-execution,,plan owner-notification procedure,paragraph
PUG-DGR1593-2024,PUG-DGR1593-2024:notice-owner-election,,plan owner-notification procedure,paragraph
