holding_party_assignment_reference,holding_reference,party_reference,role_kind,bounded_scope,as_of
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0015,PUGLIAOLIVE-HOLDING-0015,PUGLIAOLIVE-MEMBER-0015,current_steward,PUGLIAOLIVE-HOLDING-0015,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0016,PUGLIAOLIVE-HOLDING-0016,PUGLIAOLIVE-MEMBER-0016,current_steward,PUGLIAOLIVE-HOLDING-0016,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0017,PUGLIAOLIVE-HOLDING-0017,PUGLIAOLIVE-MEMBER-0017,current_steward,PUGLIAOLIVE-HOLDING-0017,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0018,PUGLIAOLIVE-HOLDING-0018,PUGLIAOLIVE-MEMBER-0018,current_steward,PUGLIAOLIVE-HOLDING-0018,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0019,PUGLIAOLIVE-HOLDING-0019,PUGLIAOLIVE-MEMBER-0019,current_steward,PUGLIAOLIVE-HOLDING-0019,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0020,PUGLIAOLIVE-HOLDING-0020,PUGLIAOLIVE-MEMBER-0020,current_steward,PUGLIAOLIVE-HOLDING-0020,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0021,PUGLIAOLIVE-HOLDING-0021,PUGLIAOLIVE-MEMBER-0021,current_steward,PUGLIAOLIVE-HOLDING-0021,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0022,PUGLIAOLIVE-HOLDING-0022,PUGLIAOLIVE-MEMBER-0022,current_steward,PUGLIAOLIVE-HOLDING-0022,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0023,PUGLIAOLIVE-HOLDING-0023,PUGLIAOLIVE-MEMBER-0023,current_steward,PUGLIAOLIVE-HOLDING-0023,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0024,PUGLIAOLIVE-HOLDING-0024,PUGLIAOLIVE-MEMBER-0024,current_steward,PUGLIAOLIVE-HOLDING-0024,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0025,PUGLIAOLIVE-HOLDING-0025,PUGLIAOLIVE-MEMBER-0025,current_steward,PUGLIAOLIVE-HOLDING-0025,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0026,PUGLIAOLIVE-HOLDING-0026,PUGLIAOLIVE-MEMBER-0026,current_steward,PUGLIAOLIVE-HOLDING-0026,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0027,PUGLIAOLIVE-HOLDING-0027,PUGLIAOLIVE-MEMBER-0027,current_steward,PUGLIAOLIVE-HOLDING-0027,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0028,PUGLIAOLIVE-HOLDING-0028,PUGLIAOLIVE-MEMBER-0028,current_steward,PUGLIAOLIVE-HOLDING-0028,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0029,PUGLIAOLIVE-HOLDING-0029,PUGLIAOLIVE-MEMBER-0029,current_steward,PUGLIAOLIVE-HOLDING-0029,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0030,PUGLIAOLIVE-HOLDING-0030,PUGLIAOLIVE-MEMBER-0030,current_steward,PUGLIAOLIVE-HOLDING-0030,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0031,PUGLIAOLIVE-HOLDING-0031,PUGLIAOLIVE-MEMBER-0031,current_steward,PUGLIAOLIVE-HOLDING-0031,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0032,PUGLIAOLIVE-HOLDING-0032,PUGLIAOLIVE-MEMBER-0032,current_steward,PUGLIAOLIVE-HOLDING-0032,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0033,PUGLIAOLIVE-HOLDING-0033,PUGLIAOLIVE-MEMBER-0033,current_steward,PUGLIAOLIVE-HOLDING-0033,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0034,PUGLIAOLIVE-HOLDING-0034,PUGLIAOLIVE-MEMBER-0034,current_steward,PUGLIAOLIVE-HOLDING-0034,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0035,PUGLIAOLIVE-HOLDING-0035,PUGLIAOLIVE-MEMBER-0035,current_steward,PUGLIAOLIVE-HOLDING-0035,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0036,PUGLIAOLIVE-HOLDING-0036,PUGLIAOLIVE-MEMBER-0036,current_steward,PUGLIAOLIVE-HOLDING-0036,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0037,PUGLIAOLIVE-HOLDING-0037,PUGLIAOLIVE-MEMBER-0037,current_steward,PUGLIAOLIVE-HOLDING-0037,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0038,PUGLIAOLIVE-HOLDING-0038,PUGLIAOLIVE-MEMBER-0038,current_steward,PUGLIAOLIVE-HOLDING-0038,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0039,PUGLIAOLIVE-HOLDING-0039,PUGLIAOLIVE-MEMBER-0039,current_steward,PUGLIAOLIVE-HOLDING-0039,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0040,PUGLIAOLIVE-HOLDING-0040,PUGLIAOLIVE-MEMBER-0040,current_steward,PUGLIAOLIVE-HOLDING-0040,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0041,PUGLIAOLIVE-HOLDING-0041,PUGLIAOLIVE-MEMBER-0041,current_steward,PUGLIAOLIVE-HOLDING-0041,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0042,PUGLIAOLIVE-HOLDING-0042,PUGLIAOLIVE-MEMBER-0042,current_steward,PUGLIAOLIVE-HOLDING-0042,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0043,PUGLIAOLIVE-HOLDING-0043,PUGLIAOLIVE-MEMBER-0043,current_steward,PUGLIAOLIVE-HOLDING-0043,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0044,PUGLIAOLIVE-HOLDING-0044,PUGLIAOLIVE-MEMBER-0044,current_steward,PUGLIAOLIVE-HOLDING-0044,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0045,PUGLIAOLIVE-HOLDING-0045,PUGLIAOLIVE-MEMBER-0045,current_steward,PUGLIAOLIVE-HOLDING-0045,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0046,PUGLIAOLIVE-HOLDING-0046,PUGLIAOLIVE-MEMBER-0046,current_steward,PUGLIAOLIVE-HOLDING-0046,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0047,PUGLIAOLIVE-HOLDING-0047,PUGLIAOLIVE-MEMBER-0047,current_steward,PUGLIAOLIVE-HOLDING-0047,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0048,PUGLIAOLIVE-HOLDING-0048,PUGLIAOLIVE-MEMBER-0048,current_steward,PUGLIAOLIVE-HOLDING-0048,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0049,PUGLIAOLIVE-HOLDING-0049,PUGLIAOLIVE-MEMBER-0049,current_steward,PUGLIAOLIVE-HOLDING-0049,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0050,PUGLIAOLIVE-HOLDING-0050,PUGLIAOLIVE-MEMBER-0050,current_steward,PUGLIAOLIVE-HOLDING-0050,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0051,PUGLIAOLIVE-HOLDING-0051,PUGLIAOLIVE-MEMBER-0051,current_steward,PUGLIAOLIVE-HOLDING-0051,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0052,PUGLIAOLIVE-HOLDING-0052,PUGLIAOLIVE-MEMBER-0052,current_steward,PUGLIAOLIVE-HOLDING-0052,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0053,PUGLIAOLIVE-HOLDING-0053,PUGLIAOLIVE-MEMBER-0053,current_steward,PUGLIAOLIVE-HOLDING-0053,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0054,PUGLIAOLIVE-HOLDING-0054,PUGLIAOLIVE-MEMBER-0054,current_steward,PUGLIAOLIVE-HOLDING-0054,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0055,PUGLIAOLIVE-HOLDING-0055,PUGLIAOLIVE-MEMBER-0055,current_steward,PUGLIAOLIVE-HOLDING-0055,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0056,PUGLIAOLIVE-HOLDING-0056,PUGLIAOLIVE-MEMBER-0056,current_steward,PUGLIAOLIVE-HOLDING-0056,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0057,PUGLIAOLIVE-HOLDING-0057,PUGLIAOLIVE-MEMBER-0057,current_steward,PUGLIAOLIVE-HOLDING-0057,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0058,PUGLIAOLIVE-HOLDING-0058,PUGLIAOLIVE-MEMBER-0058,current_steward,PUGLIAOLIVE-HOLDING-0058,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0059,PUGLIAOLIVE-HOLDING-0059,PUGLIAOLIVE-MEMBER-0059,current_steward,PUGLIAOLIVE-HOLDING-0059,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0060,PUGLIAOLIVE-HOLDING-0060,PUGLIAOLIVE-MEMBER-0060,current_steward,PUGLIAOLIVE-HOLDING-0060,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0061,PUGLIAOLIVE-HOLDING-0061,PUGLIAOLIVE-MEMBER-0061,current_steward,PUGLIAOLIVE-HOLDING-0061,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0062,PUGLIAOLIVE-HOLDING-0062,PUGLIAOLIVE-MEMBER-0062,current_steward,PUGLIAOLIVE-HOLDING-0062,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0063,PUGLIAOLIVE-HOLDING-0063,PUGLIAOLIVE-MEMBER-0063,current_steward,PUGLIAOLIVE-HOLDING-0063,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0064,PUGLIAOLIVE-HOLDING-0064,PUGLIAOLIVE-MEMBER-0064,current_steward,PUGLIAOLIVE-HOLDING-0064,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0065,PUGLIAOLIVE-HOLDING-0065,PUGLIAOLIVE-MEMBER-0065,current_steward,PUGLIAOLIVE-HOLDING-0065,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0066,PUGLIAOLIVE-HOLDING-0066,PUGLIAOLIVE-MEMBER-0066,current_steward,PUGLIAOLIVE-HOLDING-0066,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0067,PUGLIAOLIVE-HOLDING-0067,PUGLIAOLIVE-MEMBER-0067,current_steward,PUGLIAOLIVE-HOLDING-0067,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0068,PUGLIAOLIVE-HOLDING-0068,PUGLIAOLIVE-MEMBER-0068,current_steward,PUGLIAOLIVE-HOLDING-0068,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0069,PUGLIAOLIVE-HOLDING-0069,PUGLIAOLIVE-MEMBER-0069,current_steward,PUGLIAOLIVE-HOLDING-0069,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0070,PUGLIAOLIVE-HOLDING-0070,PUGLIAOLIVE-MEMBER-0070,current_steward,PUGLIAOLIVE-HOLDING-0070,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0071,PUGLIAOLIVE-HOLDING-0071,PUGLIAOLIVE-MEMBER-0071,current_steward,PUGLIAOLIVE-HOLDING-0071,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0072,PUGLIAOLIVE-HOLDING-0072,PUGLIAOLIVE-MEMBER-0072,current_steward,PUGLIAOLIVE-HOLDING-0072,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0073,PUGLIAOLIVE-HOLDING-0073,PUGLIAOLIVE-MEMBER-0073,current_steward,PUGLIAOLIVE-HOLDING-0073,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0074,PUGLIAOLIVE-HOLDING-0074,PUGLIAOLIVE-MEMBER-0074,current_steward,PUGLIAOLIVE-HOLDING-0074,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0075,PUGLIAOLIVE-HOLDING-0075,PUGLIAOLIVE-MEMBER-0075,current_steward,PUGLIAOLIVE-HOLDING-0075,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0076,PUGLIAOLIVE-HOLDING-0076,PUGLIAOLIVE-MEMBER-0076,current_steward,PUGLIAOLIVE-HOLDING-0076,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0077,PUGLIAOLIVE-HOLDING-0077,PUGLIAOLIVE-MEMBER-0077,current_steward,PUGLIAOLIVE-HOLDING-0077,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0078,PUGLIAOLIVE-HOLDING-0078,PUGLIAOLIVE-MEMBER-0078,current_steward,PUGLIAOLIVE-HOLDING-0078,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0079,PUGLIAOLIVE-HOLDING-0079,PUGLIAOLIVE-MEMBER-0079,current_steward,PUGLIAOLIVE-HOLDING-0079,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0080,PUGLIAOLIVE-HOLDING-0080,PUGLIAOLIVE-MEMBER-0080,current_steward,PUGLIAOLIVE-HOLDING-0080,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0081,PUGLIAOLIVE-HOLDING-0081,PUGLIAOLIVE-MEMBER-0081,current_steward,PUGLIAOLIVE-HOLDING-0081,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0082,PUGLIAOLIVE-HOLDING-0082,PUGLIAOLIVE-MEMBER-0082,current_steward,PUGLIAOLIVE-HOLDING-0082,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0083,PUGLIAOLIVE-HOLDING-0083,PUGLIAOLIVE-MEMBER-0083,current_steward,PUGLIAOLIVE-HOLDING-0083,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0084,PUGLIAOLIVE-HOLDING-0084,PUGLIAOLIVE-MEMBER-0084,current_steward,PUGLIAOLIVE-HOLDING-0084,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0085,PUGLIAOLIVE-HOLDING-0085,PUGLIAOLIVE-MEMBER-0085,current_steward,PUGLIAOLIVE-HOLDING-0085,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0086,PUGLIAOLIVE-HOLDING-0086,PUGLIAOLIVE-MEMBER-0086,current_steward,PUGLIAOLIVE-HOLDING-0086,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0087,PUGLIAOLIVE-HOLDING-0087,PUGLIAOLIVE-MEMBER-0087,current_steward,PUGLIAOLIVE-HOLDING-0087,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0088,PUGLIAOLIVE-HOLDING-0088,PUGLIAOLIVE-MEMBER-0088,current_steward,PUGLIAOLIVE-HOLDING-0088,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0089,PUGLIAOLIVE-HOLDING-0089,PUGLIAOLIVE-MEMBER-0089,current_steward,PUGLIAOLIVE-HOLDING-0089,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0090,PUGLIAOLIVE-HOLDING-0090,PUGLIAOLIVE-MEMBER-0090,current_steward,PUGLIAOLIVE-HOLDING-0090,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0091,PUGLIAOLIVE-HOLDING-0091,PUGLIAOLIVE-MEMBER-0091,current_steward,PUGLIAOLIVE-HOLDING-0091,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0092,PUGLIAOLIVE-HOLDING-0092,PUGLIAOLIVE-MEMBER-0092,current_steward,PUGLIAOLIVE-HOLDING-0092,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0093,PUGLIAOLIVE-HOLDING-0093,PUGLIAOLIVE-MEMBER-0093,current_steward,PUGLIAOLIVE-HOLDING-0093,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0094,PUGLIAOLIVE-HOLDING-0094,PUGLIAOLIVE-MEMBER-0094,current_steward,PUGLIAOLIVE-HOLDING-0094,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0095,PUGLIAOLIVE-HOLDING-0095,PUGLIAOLIVE-MEMBER-0095,current_steward,PUGLIAOLIVE-HOLDING-0095,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0096,PUGLIAOLIVE-HOLDING-0096,PUGLIAOLIVE-MEMBER-0096,current_steward,PUGLIAOLIVE-HOLDING-0096,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0097,PUGLIAOLIVE-HOLDING-0097,PUGLIAOLIVE-MEMBER-0097,current_steward,PUGLIAOLIVE-HOLDING-0097,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0098,PUGLIAOLIVE-HOLDING-0098,PUGLIAOLIVE-MEMBER-0098,current_steward,PUGLIAOLIVE-HOLDING-0098,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0099,PUGLIAOLIVE-HOLDING-0099,PUGLIAOLIVE-MEMBER-0099,current_steward,PUGLIAOLIVE-HOLDING-0099,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0100,PUGLIAOLIVE-HOLDING-0100,PUGLIAOLIVE-MEMBER-0100,current_steward,PUGLIAOLIVE-HOLDING-0100,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0101,PUGLIAOLIVE-HOLDING-0101,PUGLIAOLIVE-MEMBER-0101,current_steward,PUGLIAOLIVE-HOLDING-0101,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0102,PUGLIAOLIVE-HOLDING-0102,PUGLIAOLIVE-MEMBER-0102,current_steward,PUGLIAOLIVE-HOLDING-0102,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0103,PUGLIAOLIVE-HOLDING-0103,PUGLIAOLIVE-MEMBER-0103,current_steward,PUGLIAOLIVE-HOLDING-0103,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0104,PUGLIAOLIVE-HOLDING-0104,PUGLIAOLIVE-MEMBER-0104,current_steward,PUGLIAOLIVE-HOLDING-0104,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0105,PUGLIAOLIVE-HOLDING-0105,PUGLIAOLIVE-MEMBER-0105,current_steward,PUGLIAOLIVE-HOLDING-0105,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0106,PUGLIAOLIVE-HOLDING-0106,PUGLIAOLIVE-MEMBER-0106,current_steward,PUGLIAOLIVE-HOLDING-0106,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0107,PUGLIAOLIVE-HOLDING-0107,PUGLIAOLIVE-MEMBER-0107,current_steward,PUGLIAOLIVE-HOLDING-0107,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0108,PUGLIAOLIVE-HOLDING-0108,PUGLIAOLIVE-MEMBER-0108,current_steward,PUGLIAOLIVE-HOLDING-0108,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0109,PUGLIAOLIVE-HOLDING-0109,PUGLIAOLIVE-MEMBER-0109,current_steward,PUGLIAOLIVE-HOLDING-0109,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0110,PUGLIAOLIVE-HOLDING-0110,PUGLIAOLIVE-MEMBER-0110,current_steward,PUGLIAOLIVE-HOLDING-0110,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0111,PUGLIAOLIVE-HOLDING-0111,PUGLIAOLIVE-MEMBER-0111,current_steward,PUGLIAOLIVE-HOLDING-0111,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0112,PUGLIAOLIVE-HOLDING-0112,PUGLIAOLIVE-MEMBER-0112,current_steward,PUGLIAOLIVE-HOLDING-0112,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0113,PUGLIAOLIVE-HOLDING-0113,PUGLIAOLIVE-MEMBER-0113,current_steward,PUGLIAOLIVE-HOLDING-0113,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0114,PUGLIAOLIVE-HOLDING-0114,PUGLIAOLIVE-MEMBER-0114,current_steward,PUGLIAOLIVE-HOLDING-0114,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0115,PUGLIAOLIVE-HOLDING-0115,PUGLIAOLIVE-MEMBER-0115,current_steward,PUGLIAOLIVE-HOLDING-0115,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0116,PUGLIAOLIVE-HOLDING-0116,PUGLIAOLIVE-MEMBER-0116,current_steward,PUGLIAOLIVE-HOLDING-0116,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0117,PUGLIAOLIVE-HOLDING-0117,PUGLIAOLIVE-MEMBER-0117,current_steward,PUGLIAOLIVE-HOLDING-0117,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0118,PUGLIAOLIVE-HOLDING-0118,PUGLIAOLIVE-MEMBER-0118,current_steward,PUGLIAOLIVE-HOLDING-0118,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0119,PUGLIAOLIVE-HOLDING-0119,PUGLIAOLIVE-MEMBER-0119,current_steward,PUGLIAOLIVE-HOLDING-0119,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0120,PUGLIAOLIVE-HOLDING-0120,PUGLIAOLIVE-MEMBER-0120,current_steward,PUGLIAOLIVE-HOLDING-0120,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0121,PUGLIAOLIVE-HOLDING-0121,PUGLIAOLIVE-MEMBER-0121,current_steward,PUGLIAOLIVE-HOLDING-0121,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0122,PUGLIAOLIVE-HOLDING-0122,PUGLIAOLIVE-MEMBER-0122,current_steward,PUGLIAOLIVE-HOLDING-0122,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0123,PUGLIAOLIVE-HOLDING-0123,PUGLIAOLIVE-MEMBER-0123,current_steward,PUGLIAOLIVE-HOLDING-0123,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0124,PUGLIAOLIVE-HOLDING-0124,PUGLIAOLIVE-MEMBER-0124,current_steward,PUGLIAOLIVE-HOLDING-0124,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0125,PUGLIAOLIVE-HOLDING-0125,PUGLIAOLIVE-MEMBER-0125,current_steward,PUGLIAOLIVE-HOLDING-0125,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0126,PUGLIAOLIVE-HOLDING-0126,PUGLIAOLIVE-MEMBER-0126,current_steward,PUGLIAOLIVE-HOLDING-0126,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0127,PUGLIAOLIVE-HOLDING-0127,PUGLIAOLIVE-MEMBER-0127,current_steward,PUGLIAOLIVE-HOLDING-0127,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0128,PUGLIAOLIVE-HOLDING-0128,PUGLIAOLIVE-MEMBER-0128,current_steward,PUGLIAOLIVE-HOLDING-0128,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0129,PUGLIAOLIVE-HOLDING-0129,PUGLIAOLIVE-MEMBER-0129,current_steward,PUGLIAOLIVE-HOLDING-0129,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0130,PUGLIAOLIVE-HOLDING-0130,PUGLIAOLIVE-MEMBER-0130,current_steward,PUGLIAOLIVE-HOLDING-0130,2026-08-24
PUGLIAOLIVE-HOLDING-ASSIGNMENT-0131,PUGLIAOLIVE-HOLDING-0131,PUGLIAOLIVE-MEMBER-0131,current_steward,PUGLIAOLIVE-HOLDING-0131,2026-08-24
