cooperative_membership_reference,member_party_reference,cooperative_party_reference,membership_kind,as_of
PUGLIAOLIVE-MEMBERSHIP-0022,PUGLIAOLIVE-MEMBER-0022,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0023,PUGLIAOLIVE-MEMBER-0023,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0024,PUGLIAOLIVE-MEMBER-0024,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0025,PUGLIAOLIVE-MEMBER-0025,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0026,PUGLIAOLIVE-MEMBER-0026,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0027,PUGLIAOLIVE-MEMBER-0027,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0028,PUGLIAOLIVE-MEMBER-0028,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0029,PUGLIAOLIVE-MEMBER-0029,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0030,PUGLIAOLIVE-MEMBER-0030,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0031,PUGLIAOLIVE-MEMBER-0031,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0032,PUGLIAOLIVE-MEMBER-0032,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0033,PUGLIAOLIVE-MEMBER-0033,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0034,PUGLIAOLIVE-MEMBER-0034,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0035,PUGLIAOLIVE-MEMBER-0035,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0036,PUGLIAOLIVE-MEMBER-0036,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0037,PUGLIAOLIVE-MEMBER-0037,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0038,PUGLIAOLIVE-MEMBER-0038,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0039,PUGLIAOLIVE-MEMBER-0039,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0040,PUGLIAOLIVE-MEMBER-0040,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0041,PUGLIAOLIVE-MEMBER-0041,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0042,PUGLIAOLIVE-MEMBER-0042,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0043,PUGLIAOLIVE-MEMBER-0043,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0044,PUGLIAOLIVE-MEMBER-0044,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0045,PUGLIAOLIVE-MEMBER-0045,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0046,PUGLIAOLIVE-MEMBER-0046,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0047,PUGLIAOLIVE-MEMBER-0047,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0048,PUGLIAOLIVE-MEMBER-0048,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0049,PUGLIAOLIVE-MEMBER-0049,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0050,PUGLIAOLIVE-MEMBER-0050,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0051,PUGLIAOLIVE-MEMBER-0051,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0052,PUGLIAOLIVE-MEMBER-0052,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0053,PUGLIAOLIVE-MEMBER-0053,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0054,PUGLIAOLIVE-MEMBER-0054,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0055,PUGLIAOLIVE-MEMBER-0055,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0056,PUGLIAOLIVE-MEMBER-0056,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0057,PUGLIAOLIVE-MEMBER-0057,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0058,PUGLIAOLIVE-MEMBER-0058,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0059,PUGLIAOLIVE-MEMBER-0059,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0060,PUGLIAOLIVE-MEMBER-0060,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0061,PUGLIAOLIVE-MEMBER-0061,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0062,PUGLIAOLIVE-MEMBER-0062,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0063,PUGLIAOLIVE-MEMBER-0063,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0064,PUGLIAOLIVE-MEMBER-0064,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0065,PUGLIAOLIVE-MEMBER-0065,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0066,PUGLIAOLIVE-MEMBER-0066,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0067,PUGLIAOLIVE-MEMBER-0067,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0068,PUGLIAOLIVE-MEMBER-0068,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0069,PUGLIAOLIVE-MEMBER-0069,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0070,PUGLIAOLIVE-MEMBER-0070,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0071,PUGLIAOLIVE-MEMBER-0071,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0072,PUGLIAOLIVE-MEMBER-0072,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0073,PUGLIAOLIVE-MEMBER-0073,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0074,PUGLIAOLIVE-MEMBER-0074,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0075,PUGLIAOLIVE-MEMBER-0075,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0076,PUGLIAOLIVE-MEMBER-0076,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0077,PUGLIAOLIVE-MEMBER-0077,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0078,PUGLIAOLIVE-MEMBER-0078,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0079,PUGLIAOLIVE-MEMBER-0079,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0080,PUGLIAOLIVE-MEMBER-0080,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0081,PUGLIAOLIVE-MEMBER-0081,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0082,PUGLIAOLIVE-MEMBER-0082,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0083,PUGLIAOLIVE-MEMBER-0083,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0084,PUGLIAOLIVE-MEMBER-0084,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0085,PUGLIAOLIVE-MEMBER-0085,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0086,PUGLIAOLIVE-MEMBER-0086,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0087,PUGLIAOLIVE-MEMBER-0087,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0088,PUGLIAOLIVE-MEMBER-0088,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0089,PUGLIAOLIVE-MEMBER-0089,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0090,PUGLIAOLIVE-MEMBER-0090,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0091,PUGLIAOLIVE-MEMBER-0091,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0092,PUGLIAOLIVE-MEMBER-0092,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0093,PUGLIAOLIVE-MEMBER-0093,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0094,PUGLIAOLIVE-MEMBER-0094,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0095,PUGLIAOLIVE-MEMBER-0095,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0096,PUGLIAOLIVE-MEMBER-0096,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0097,PUGLIAOLIVE-MEMBER-0097,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0098,PUGLIAOLIVE-MEMBER-0098,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0099,PUGLIAOLIVE-MEMBER-0099,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0100,PUGLIAOLIVE-MEMBER-0100,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0101,PUGLIAOLIVE-MEMBER-0101,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0102,PUGLIAOLIVE-MEMBER-0102,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0103,PUGLIAOLIVE-MEMBER-0103,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0104,PUGLIAOLIVE-MEMBER-0104,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0105,PUGLIAOLIVE-MEMBER-0105,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0106,PUGLIAOLIVE-MEMBER-0106,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0107,PUGLIAOLIVE-MEMBER-0107,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0108,PUGLIAOLIVE-MEMBER-0108,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0109,PUGLIAOLIVE-MEMBER-0109,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0110,PUGLIAOLIVE-MEMBER-0110,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0111,PUGLIAOLIVE-MEMBER-0111,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0112,PUGLIAOLIVE-MEMBER-0112,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0113,PUGLIAOLIVE-MEMBER-0113,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0114,PUGLIAOLIVE-MEMBER-0114,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0115,PUGLIAOLIVE-MEMBER-0115,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0116,PUGLIAOLIVE-MEMBER-0116,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0117,PUGLIAOLIVE-MEMBER-0117,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0118,PUGLIAOLIVE-MEMBER-0118,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0119,PUGLIAOLIVE-MEMBER-0119,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0120,PUGLIAOLIVE-MEMBER-0120,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0121,PUGLIAOLIVE-MEMBER-0121,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0122,PUGLIAOLIVE-MEMBER-0122,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0123,PUGLIAOLIVE-MEMBER-0123,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0124,PUGLIAOLIVE-MEMBER-0124,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0125,PUGLIAOLIVE-MEMBER-0125,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0126,PUGLIAOLIVE-MEMBER-0126,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0127,PUGLIAOLIVE-MEMBER-0127,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0128,PUGLIAOLIVE-MEMBER-0128,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0129,PUGLIAOLIVE-MEMBER-0129,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0130,PUGLIAOLIVE-MEMBER-0130,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0131,PUGLIAOLIVE-MEMBER-0131,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0132,PUGLIAOLIVE-MEMBER-0132,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0133,PUGLIAOLIVE-MEMBER-0133,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0134,PUGLIAOLIVE-MEMBER-0134,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0135,PUGLIAOLIVE-MEMBER-0135,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0136,PUGLIAOLIVE-MEMBER-0136,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0137,PUGLIAOLIVE-MEMBER-0137,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0138,PUGLIAOLIVE-MEMBER-0138,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0139,PUGLIAOLIVE-MEMBER-0139,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0140,PUGLIAOLIVE-MEMBER-0140,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0141,PUGLIAOLIVE-MEMBER-0141,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0142,PUGLIAOLIVE-MEMBER-0142,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0143,PUGLIAOLIVE-MEMBER-0143,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0144,PUGLIAOLIVE-MEMBER-0144,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0145,PUGLIAOLIVE-MEMBER-0145,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0146,PUGLIAOLIVE-MEMBER-0146,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0147,PUGLIAOLIVE-MEMBER-0147,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0148,PUGLIAOLIVE-MEMBER-0148,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0149,PUGLIAOLIVE-MEMBER-0149,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0150,PUGLIAOLIVE-MEMBER-0150,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0151,PUGLIAOLIVE-MEMBER-0151,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0152,PUGLIAOLIVE-MEMBER-0152,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0153,PUGLIAOLIVE-MEMBER-0153,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0154,PUGLIAOLIVE-MEMBER-0154,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0155,PUGLIAOLIVE-MEMBER-0155,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0156,PUGLIAOLIVE-MEMBER-0156,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0157,PUGLIAOLIVE-MEMBER-0157,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0158,PUGLIAOLIVE-MEMBER-0158,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0159,PUGLIAOLIVE-MEMBER-0159,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0160,PUGLIAOLIVE-MEMBER-0160,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0161,PUGLIAOLIVE-MEMBER-0161,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0162,PUGLIAOLIVE-MEMBER-0162,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0163,PUGLIAOLIVE-MEMBER-0163,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0164,PUGLIAOLIVE-MEMBER-0164,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0165,PUGLIAOLIVE-MEMBER-0165,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0166,PUGLIAOLIVE-MEMBER-0166,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0167,PUGLIAOLIVE-MEMBER-0167,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0168,PUGLIAOLIVE-MEMBER-0168,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0169,PUGLIAOLIVE-MEMBER-0169,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0170,PUGLIAOLIVE-MEMBER-0170,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0171,PUGLIAOLIVE-MEMBER-0171,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0172,PUGLIAOLIVE-MEMBER-0172,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0173,PUGLIAOLIVE-MEMBER-0173,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0174,PUGLIAOLIVE-MEMBER-0174,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0175,PUGLIAOLIVE-MEMBER-0175,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0176,PUGLIAOLIVE-MEMBER-0176,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0177,PUGLIAOLIVE-MEMBER-0177,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0178,PUGLIAOLIVE-MEMBER-0178,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0179,PUGLIAOLIVE-MEMBER-0179,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0180,PUGLIAOLIVE-MEMBER-0180,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0181,PUGLIAOLIVE-MEMBER-0181,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0182,PUGLIAOLIVE-MEMBER-0182,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0183,PUGLIAOLIVE-MEMBER-0183,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0184,PUGLIAOLIVE-MEMBER-0184,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0185,PUGLIAOLIVE-MEMBER-0185,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0186,PUGLIAOLIVE-MEMBER-0186,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0187,PUGLIAOLIVE-MEMBER-0187,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0188,PUGLIAOLIVE-MEMBER-0188,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0189,PUGLIAOLIVE-MEMBER-0189,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0190,PUGLIAOLIVE-MEMBER-0190,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0191,PUGLIAOLIVE-MEMBER-0191,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0192,PUGLIAOLIVE-MEMBER-0192,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0193,PUGLIAOLIVE-MEMBER-0193,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0194,PUGLIAOLIVE-MEMBER-0194,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0195,PUGLIAOLIVE-MEMBER-0195,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0196,PUGLIAOLIVE-MEMBER-0196,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0197,PUGLIAOLIVE-MEMBER-0197,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0198,PUGLIAOLIVE-MEMBER-0198,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0199,PUGLIAOLIVE-MEMBER-0199,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0200,PUGLIAOLIVE-MEMBER-0200,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0201,PUGLIAOLIVE-MEMBER-0201,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0202,PUGLIAOLIVE-MEMBER-0202,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0203,PUGLIAOLIVE-MEMBER-0203,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0204,PUGLIAOLIVE-MEMBER-0204,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0205,PUGLIAOLIVE-MEMBER-0205,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0206,PUGLIAOLIVE-MEMBER-0206,IT/OLI/112,producer_member,2026-08-24
PUGLIAOLIVE-MEMBERSHIP-0207,PUGLIAOLIVE-MEMBER-0207,IT/OLI/112,producer_member,2026-08-24
