qualified_holding_reference,operator_title,as_of
PUGLIAOLIVE-HOLDING-0136,Agricultural holding 0136,2026-08-24
PUGLIAOLIVE-HOLDING-0137,Agricultural holding 0137,2026-08-24
PUGLIAOLIVE-HOLDING-0138,Agricultural holding 0138,2026-08-24
PUGLIAOLIVE-HOLDING-0139,Agricultural holding 0139,2026-08-24
PUGLIAOLIVE-HOLDING-0140,Agricultural holding 0140,2026-08-24
PUGLIAOLIVE-HOLDING-0141,Agricultural holding 0141,2026-08-24
PUGLIAOLIVE-HOLDING-0142,Agricultural holding 0142,2026-08-24
PUGLIAOLIVE-HOLDING-0143,Agricultural holding 0143,2026-08-24
PUGLIAOLIVE-HOLDING-0144,Agricultural holding 0144,2026-08-24
PUGLIAOLIVE-HOLDING-0145,Agricultural holding 0145,2026-08-24
PUGLIAOLIVE-HOLDING-0146,Agricultural holding 0146,2026-08-24
PUGLIAOLIVE-HOLDING-0147,Agricultural holding 0147,2026-08-24
PUGLIAOLIVE-HOLDING-0148,Agricultural holding 0148,2026-08-24
PUGLIAOLIVE-HOLDING-0149,Agricultural holding 0149,2026-08-24
PUGLIAOLIVE-HOLDING-0150,Agricultural holding 0150,2026-08-24
PUGLIAOLIVE-HOLDING-0151,Agricultural holding 0151,2026-08-24
PUGLIAOLIVE-HOLDING-0152,Agricultural holding 0152,2026-08-24
PUGLIAOLIVE-HOLDING-0153,Agricultural holding 0153,2026-08-24
PUGLIAOLIVE-HOLDING-0154,Agricultural holding 0154,2026-08-24
PUGLIAOLIVE-HOLDING-0155,Agricultural holding 0155,2026-08-24
PUGLIAOLIVE-HOLDING-0156,Agricultural holding 0156,2026-08-24
PUGLIAOLIVE-HOLDING-0157,Agricultural holding 0157,2026-08-24
PUGLIAOLIVE-HOLDING-0158,Agricultural holding 0158,2026-08-24
PUGLIAOLIVE-HOLDING-0159,Agricultural holding 0159,2026-08-24
PUGLIAOLIVE-HOLDING-0160,Agricultural holding 0160,2026-08-24
PUGLIAOLIVE-HOLDING-0161,Agricultural holding 0161,2026-08-24
PUGLIAOLIVE-HOLDING-0162,Agricultural holding 0162,2026-08-24
PUGLIAOLIVE-HOLDING-0163,Agricultural holding 0163,2026-08-24
PUGLIAOLIVE-HOLDING-0164,Agricultural holding 0164,2026-08-24
PUGLIAOLIVE-HOLDING-0165,Agricultural holding 0165,2026-08-24
PUGLIAOLIVE-HOLDING-0166,Agricultural holding 0166,2026-08-24
PUGLIAOLIVE-HOLDING-0167,Agricultural holding 0167,2026-08-24
PUGLIAOLIVE-HOLDING-0168,Agricultural holding 0168,2026-08-24
PUGLIAOLIVE-HOLDING-0169,Agricultural holding 0169,2026-08-24
PUGLIAOLIVE-HOLDING-0170,Agricultural holding 0170,2026-08-24
PUGLIAOLIVE-HOLDING-0171,Agricultural holding 0171,2026-08-24
PUGLIAOLIVE-HOLDING-0172,Agricultural holding 0172,2026-08-24
PUGLIAOLIVE-HOLDING-0173,Agricultural holding 0173,2026-08-24
PUGLIAOLIVE-HOLDING-0174,Agricultural holding 0174,2026-08-24
PUGLIAOLIVE-HOLDING-0175,Agricultural holding 0175,2026-08-24
PUGLIAOLIVE-HOLDING-0176,Agricultural holding 0176,2026-08-24
PUGLIAOLIVE-HOLDING-0177,Agricultural holding 0177,2026-08-24
PUGLIAOLIVE-HOLDING-0178,Agricultural holding 0178,2026-08-24
PUGLIAOLIVE-HOLDING-0179,Agricultural holding 0179,2026-08-24
PUGLIAOLIVE-HOLDING-0180,Agricultural holding 0180,2026-08-24
PUGLIAOLIVE-HOLDING-0181,Agricultural holding 0181,2026-08-24
PUGLIAOLIVE-HOLDING-0182,Agricultural holding 0182,2026-08-24
PUGLIAOLIVE-HOLDING-0183,Agricultural holding 0183,2026-08-24
PUGLIAOLIVE-HOLDING-0184,Agricultural holding 0184,2026-08-24
PUGLIAOLIVE-HOLDING-0185,Agricultural holding 0185,2026-08-24
PUGLIAOLIVE-HOLDING-0186,Agricultural holding 0186,2026-08-24
PUGLIAOLIVE-HOLDING-0187,Agricultural holding 0187,2026-08-24
PUGLIAOLIVE-HOLDING-0188,Agricultural holding 0188,2026-08-24
PUGLIAOLIVE-HOLDING-0189,Agricultural holding 0189,2026-08-24
PUGLIAOLIVE-HOLDING-0190,Agricultural holding 0190,2026-08-24
PUGLIAOLIVE-HOLDING-0191,Agricultural holding 0191,2026-08-24
PUGLIAOLIVE-HOLDING-0192,Agricultural holding 0192,2026-08-24
PUGLIAOLIVE-HOLDING-0193,Agricultural holding 0193,2026-08-24
PUGLIAOLIVE-HOLDING-0194,Agricultural holding 0194,2026-08-24
PUGLIAOLIVE-HOLDING-0195,Agricultural holding 0195,2026-08-24
PUGLIAOLIVE-HOLDING-0196,Agricultural holding 0196,2026-08-24
PUGLIAOLIVE-HOLDING-0197,Agricultural holding 0197,2026-08-24
PUGLIAOLIVE-HOLDING-0198,Agricultural holding 0198,2026-08-24
PUGLIAOLIVE-HOLDING-0199,Agricultural holding 0199,2026-08-24
PUGLIAOLIVE-HOLDING-0200,Agricultural holding 0200,2026-08-24
PUGLIAOLIVE-HOLDING-0201,Agricultural holding 0201,2026-08-24
PUGLIAOLIVE-HOLDING-0202,Agricultural holding 0202,2026-08-24
PUGLIAOLIVE-HOLDING-0203,Agricultural holding 0203,2026-08-24
PUGLIAOLIVE-HOLDING-0204,Agricultural holding 0204,2026-08-24
PUGLIAOLIVE-HOLDING-0205,Agricultural holding 0205,2026-08-24
PUGLIAOLIVE-HOLDING-0206,Agricultural holding 0206,2026-08-24
PUGLIAOLIVE-HOLDING-0207,Agricultural holding 0207,2026-08-24
PUGLIAOLIVE-HOLDING-0208,Agricultural holding 0208,2026-08-24
PUGLIAOLIVE-HOLDING-0209,Agricultural holding 0209,2026-08-24
PUGLIAOLIVE-HOLDING-0210,Agricultural holding 0210,2026-08-24
PUGLIAOLIVE-HOLDING-0211,Agricultural holding 0211,2026-08-24
PUGLIAOLIVE-HOLDING-0212,Agricultural holding 0212,2026-08-24
PUGLIAOLIVE-HOLDING-0213,Agricultural holding 0213,2026-08-24
PUGLIAOLIVE-HOLDING-0214,Agricultural holding 0214,2026-08-24
PUGLIAOLIVE-HOLDING-0215,Agricultural holding 0215,2026-08-24
PUGLIAOLIVE-HOLDING-0216,Agricultural holding 0216,2026-08-24
PUGLIAOLIVE-HOLDING-0217,Agricultural holding 0217,2026-08-24
PUGLIAOLIVE-HOLDING-0218,Agricultural holding 0218,2026-08-24
PUGLIAOLIVE-HOLDING-0219,Agricultural holding 0219,2026-08-24
PUGLIAOLIVE-HOLDING-0220,Agricultural holding 0220,2026-08-24
PUGLIAOLIVE-HOLDING-0221,Agricultural holding 0221,2026-08-24
PUGLIAOLIVE-HOLDING-0222,Agricultural holding 0222,2026-08-24
PUGLIAOLIVE-HOLDING-0223,Agricultural holding 0223,2026-08-24
PUGLIAOLIVE-HOLDING-0224,Agricultural holding 0224,2026-08-24
PUGLIAOLIVE-HOLDING-0225,Agricultural holding 0225,2026-08-24
PUGLIAOLIVE-HOLDING-0226,Agricultural holding 0226,2026-08-24
PUGLIAOLIVE-HOLDING-0227,Agricultural holding 0227,2026-08-24
PUGLIAOLIVE-HOLDING-0228,Agricultural holding 0228,2026-08-24
PUGLIAOLIVE-HOLDING-0229,Agricultural holding 0229,2026-08-24
PUGLIAOLIVE-HOLDING-0230,Agricultural holding 0230,2026-08-24
PUGLIAOLIVE-HOLDING-0231,Agricultural holding 0231,2026-08-24
PUGLIAOLIVE-HOLDING-0232,Agricultural holding 0232,2026-08-24
PUGLIAOLIVE-HOLDING-0233,Agricultural holding 0233,2026-08-24
PUGLIAOLIVE-HOLDING-0234,Agricultural holding 0234,2026-08-24
PUGLIAOLIVE-HOLDING-0235,Agricultural holding 0235,2026-08-24
PUGLIAOLIVE-HOLDING-0236,Agricultural holding 0236,2026-08-24
PUGLIAOLIVE-HOLDING-0237,Agricultural holding 0237,2026-08-24
PUGLIAOLIVE-HOLDING-0238,Agricultural holding 0238,2026-08-24
PUGLIAOLIVE-HOLDING-0239,Agricultural holding 0239,2026-08-24
PUGLIAOLIVE-HOLDING-0240,Agricultural holding 0240,2026-08-24
PUGLIAOLIVE-HOLDING-0241,Agricultural holding 0241,2026-08-24
PUGLIAOLIVE-HOLDING-0242,Agricultural holding 0242,2026-08-24
PUGLIAOLIVE-HOLDING-0243,Agricultural holding 0243,2026-08-24
PUGLIAOLIVE-HOLDING-0244,Agricultural holding 0244,2026-08-24
PUGLIAOLIVE-HOLDING-0245,Agricultural holding 0245,2026-08-24
PUGLIAOLIVE-HOLDING-0246,Agricultural holding 0246,2026-08-24
PUGLIAOLIVE-HOLDING-0247,Agricultural holding 0247,2026-08-24
PUGLIAOLIVE-HOLDING-0248,Agricultural holding 0248,2026-08-24
PUGLIAOLIVE-HOLDING-0249,Agricultural holding 0249,2026-08-24
PUGLIAOLIVE-HOLDING-0250,Agricultural holding 0250,2026-08-24
PUGLIAOLIVE-HOLDING-0251,Agricultural holding 0251,2026-08-24
PUGLIAOLIVE-HOLDING-0252,Agricultural holding 0252,2026-08-24
PUGLIAOLIVE-HOLDING-0253,Agricultural holding 0253,2026-08-24
PUGLIAOLIVE-HOLDING-0254,Agricultural holding 0254,2026-08-24
PUGLIAOLIVE-HOLDING-0255,Agricultural holding 0255,2026-08-24
PUGLIAOLIVE-HOLDING-0256,Agricultural holding 0256,2026-08-24
PUGLIAOLIVE-HOLDING-0257,Agricultural holding 0257,2026-08-24
PUGLIAOLIVE-HOLDING-0258,Agricultural holding 0258,2026-08-24
PUGLIAOLIVE-HOLDING-0259,Agricultural holding 0259,2026-08-24
PUGLIAOLIVE-HOLDING-0260,Agricultural holding 0260,2026-08-24
PUGLIAOLIVE-HOLDING-0261,Agricultural holding 0261,2026-08-24
PUGLIAOLIVE-HOLDING-0262,Agricultural holding 0262,2026-08-24
PUGLIAOLIVE-HOLDING-0263,Agricultural holding 0263,2026-08-24
PUGLIAOLIVE-HOLDING-0264,Agricultural holding 0264,2026-08-24
PUGLIAOLIVE-HOLDING-0265,Agricultural holding 0265,2026-08-24
PUGLIAOLIVE-HOLDING-0266,Agricultural holding 0266,2026-08-24
PUGLIAOLIVE-HOLDING-0267,Agricultural holding 0267,2026-08-24
PUGLIAOLIVE-HOLDING-0268,Agricultural holding 0268,2026-08-24
PUGLIAOLIVE-HOLDING-0269,Agricultural holding 0269,2026-08-24
PUGLIAOLIVE-HOLDING-0270,Agricultural holding 0270,2026-08-24
PUGLIAOLIVE-HOLDING-0271,Agricultural holding 0271,2026-08-24
PUGLIAOLIVE-HOLDING-0272,Agricultural holding 0272,2026-08-24
PUGLIAOLIVE-HOLDING-0273,Agricultural holding 0273,2026-08-24
PUGLIAOLIVE-HOLDING-0274,Agricultural holding 0274,2026-08-24
PUGLIAOLIVE-HOLDING-0275,Agricultural holding 0275,2026-08-24
PUGLIAOLIVE-HOLDING-0276,Agricultural holding 0276,2026-08-24
PUGLIAOLIVE-HOLDING-0277,Agricultural holding 0277,2026-08-24
PUGLIAOLIVE-HOLDING-0278,Agricultural holding 0278,2026-08-24
PUGLIAOLIVE-HOLDING-0279,Agricultural holding 0279,2026-08-24
PUGLIAOLIVE-HOLDING-0280,Agricultural holding 0280,2026-08-24
PUGLIAOLIVE-HOLDING-0281,Agricultural holding 0281,2026-08-24
PUGLIAOLIVE-HOLDING-0282,Agricultural holding 0282,2026-08-24
PUGLIAOLIVE-HOLDING-0283,Agricultural holding 0283,2026-08-24
PUGLIAOLIVE-HOLDING-0284,Agricultural holding 0284,2026-08-24
PUGLIAOLIVE-HOLDING-0285,Agricultural holding 0285,2026-08-24
PUGLIAOLIVE-HOLDING-0286,Agricultural holding 0286,2026-08-24
PUGLIAOLIVE-HOLDING-0287,Agricultural holding 0287,2026-08-24
PUGLIAOLIVE-HOLDING-0288,Agricultural holding 0288,2026-08-24
PUGLIAOLIVE-HOLDING-0289,Agricultural holding 0289,2026-08-24
PUGLIAOLIVE-HOLDING-0290,Agricultural holding 0290,2026-08-24
PUGLIAOLIVE-HOLDING-0291,Agricultural holding 0291,2026-08-24
PUGLIAOLIVE-HOLDING-0292,Agricultural holding 0292,2026-08-24
PUGLIAOLIVE-HOLDING-0293,Agricultural holding 0293,2026-08-24
PUGLIAOLIVE-HOLDING-0294,Agricultural holding 0294,2026-08-24
PUGLIAOLIVE-HOLDING-0295,Agricultural holding 0295,2026-08-24
PUGLIAOLIVE-HOLDING-0296,Agricultural holding 0296,2026-08-24
PUGLIAOLIVE-HOLDING-0297,Agricultural holding 0297,2026-08-24
PUGLIAOLIVE-HOLDING-0298,Agricultural holding 0298,2026-08-24
PUGLIAOLIVE-HOLDING-0299,Agricultural holding 0299,2026-08-24
PUGLIAOLIVE-HOLDING-0300,Agricultural holding 0300,2026-08-24
PUGLIAOLIVE-HOLDING-0301,Agricultural holding 0301,2026-08-24
PUGLIAOLIVE-HOLDING-0302,Agricultural holding 0302,2026-08-24
PUGLIAOLIVE-HOLDING-0303,Agricultural holding 0303,2026-08-24
PUGLIAOLIVE-HOLDING-0304,Agricultural holding 0304,2026-08-24
PUGLIAOLIVE-HOLDING-0305,Agricultural holding 0305,2026-08-24
PUGLIAOLIVE-HOLDING-0306,Agricultural holding 0306,2026-08-24
PUGLIAOLIVE-HOLDING-0307,Agricultural holding 0307,2026-08-24
PUGLIAOLIVE-HOLDING-0308,Agricultural holding 0308,2026-08-24
PUGLIAOLIVE-HOLDING-0309,Agricultural holding 0309,2026-08-24
PUGLIAOLIVE-HOLDING-0310,Agricultural holding 0310,2026-08-24
PUGLIAOLIVE-HOLDING-0311,Agricultural holding 0311,2026-08-24
PUGLIAOLIVE-HOLDING-0312,Agricultural holding 0312,2026-08-24
PUGLIAOLIVE-HOLDING-0313,Agricultural holding 0313,2026-08-24
PUGLIAOLIVE-HOLDING-0314,Agricultural holding 0314,2026-08-24
PUGLIAOLIVE-HOLDING-0315,Agricultural holding 0315,2026-08-24
PUGLIAOLIVE-HOLDING-0316,Agricultural holding 0316,2026-08-24
PUGLIAOLIVE-HOLDING-0317,Agricultural holding 0317,2026-08-24
PUGLIAOLIVE-HOLDING-0318,Agricultural holding 0318,2026-08-24
PUGLIAOLIVE-HOLDING-0319,Agricultural holding 0319,2026-08-24
PUGLIAOLIVE-HOLDING-0320,Agricultural holding 0320,2026-08-24
PUGLIAOLIVE-HOLDING-0321,Agricultural holding 0321,2026-08-24
PUGLIAOLIVE-HOLDING-0322,Agricultural holding 0322,2026-08-24
PUGLIAOLIVE-HOLDING-0323,Agricultural holding 0323,2026-08-24
PUGLIAOLIVE-HOLDING-0324,Agricultural holding 0324,2026-08-24
PUGLIAOLIVE-HOLDING-0325,Agricultural holding 0325,2026-08-24
PUGLIAOLIVE-HOLDING-0326,Agricultural holding 0326,2026-08-24
PUGLIAOLIVE-HOLDING-0327,Agricultural holding 0327,2026-08-24
PUGLIAOLIVE-HOLDING-0328,Agricultural holding 0328,2026-08-24
PUGLIAOLIVE-HOLDING-0329,Agricultural holding 0329,2026-08-24
PUGLIAOLIVE-HOLDING-0330,Agricultural holding 0330,2026-08-24
PUGLIAOLIVE-HOLDING-0331,Agricultural holding 0331,2026-08-24
PUGLIAOLIVE-HOLDING-0332,Agricultural holding 0332,2026-08-24
PUGLIAOLIVE-HOLDING-0333,Agricultural holding 0333,2026-08-24
PUGLIAOLIVE-HOLDING-0334,Agricultural holding 0334,2026-08-24
PUGLIAOLIVE-HOLDING-0335,Agricultural holding 0335,2026-08-24
PUGLIAOLIVE-HOLDING-0336,Agricultural holding 0336,2026-08-24
PUGLIAOLIVE-HOLDING-0337,Agricultural holding 0337,2026-08-24
PUGLIAOLIVE-HOLDING-0338,Agricultural holding 0338,2026-08-24
PUGLIAOLIVE-HOLDING-0339,Agricultural holding 0339,2026-08-24
PUGLIAOLIVE-HOLDING-0340,Agricultural holding 0340,2026-08-24
PUGLIAOLIVE-HOLDING-0341,Agricultural holding 0341,2026-08-24
PUGLIAOLIVE-HOLDING-0342,Agricultural holding 0342,2026-08-24
PUGLIAOLIVE-HOLDING-0343,Agricultural holding 0343,2026-08-24
PUGLIAOLIVE-HOLDING-0344,Agricultural holding 0344,2026-08-24
PUGLIAOLIVE-HOLDING-0345,Agricultural holding 0345,2026-08-24
PUGLIAOLIVE-HOLDING-0346,Agricultural holding 0346,2026-08-24
PUGLIAOLIVE-HOLDING-0347,Agricultural holding 0347,2026-08-24
PUGLIAOLIVE-HOLDING-0348,Agricultural holding 0348,2026-08-24
PUGLIAOLIVE-HOLDING-0349,Agricultural holding 0349,2026-08-24
PUGLIAOLIVE-HOLDING-0350,Agricultural holding 0350,2026-08-24
PUGLIAOLIVE-HOLDING-0351,Agricultural holding 0351,2026-08-24
PUGLIAOLIVE-HOLDING-0352,Agricultural holding 0352,2026-08-24
PUGLIAOLIVE-HOLDING-0353,Agricultural holding 0353,2026-08-24
PUGLIAOLIVE-HOLDING-0354,Agricultural holding 0354,2026-08-24
PUGLIAOLIVE-HOLDING-0355,Agricultural holding 0355,2026-08-24
PUGLIAOLIVE-HOLDING-0356,Agricultural holding 0356,2026-08-24
PUGLIAOLIVE-HOLDING-0357,Agricultural holding 0357,2026-08-24
PUGLIAOLIVE-HOLDING-0358,Agricultural holding 0358,2026-08-24
