position_ref,order_ref,comune,foglio,particella,parcel_ref,holder_named_in_annex,basis,subject_resolution
DET-103-2026-FITO:CASSANO DELLE MURGE:71:60,DET-103-2026-FITO,Cassano Delle Murge,71,60,B998_007100.60,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-103-2026-FITO:CASSANO DELLE MURGE:71:99,DET-103-2026-FITO,Cassano Delle Murge,71,99,B998_007100.99,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:195:3,DET-104-2026-FITO,Altamura,195,3,A225_019500.3,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:48,DET-104-2026-FITO,Altamura,196,48,A225_019600.48,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:49,DET-104-2026-FITO,Altamura,196,49,A225_019600.49,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:50,DET-104-2026-FITO,Altamura,196,50,A225_019600.50,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:51,DET-104-2026-FITO,Altamura,196,51,A225_019600.51,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:6,DET-104-2026-FITO,Altamura,196,6,A225_019600.6,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:75,DET-104-2026-FITO,Altamura,196,75,A225_019600.75,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:76,DET-104-2026-FITO,Altamura,196,76,A225_019600.76,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:77,DET-104-2026-FITO,Altamura,196,77,A225_019600.77,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-104-2026-FITO:ALTAMURA:196:78,DET-104-2026-FITO,Altamura,196,78,A225_019600.78,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1779,DET-114-2026-FITO,Bari,59,1779,A662_005900.1779,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1823,DET-114-2026-FITO,Bari,59,1823,A662_005900.1823,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1009,DET-114-2026-FITO,Bari,59,1009,A662_005900.1009,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1010,DET-114-2026-FITO,Bari,59,1010,A662_005900.1010,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1079,DET-114-2026-FITO,Bari,59,1079,A662_005900.1079,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:133,DET-114-2026-FITO,Bari,59,133,A662_005900.133,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:136,DET-114-2026-FITO,Bari,59,136,A662_005900.136,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1439,DET-114-2026-FITO,Bari,59,1439,A662_005900.1439,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1456,DET-114-2026-FITO,Bari,59,1456,A662_005900.1456,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1459,DET-114-2026-FITO,Bari,59,1459,A662_005900.1459,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1462,DET-114-2026-FITO,Bari,59,1462,A662_005900.1462,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1467,DET-114-2026-FITO,Bari,59,1467,A662_005900.1467,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1468,DET-114-2026-FITO,Bari,59,1468,A662_005900.1468,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1469,DET-114-2026-FITO,Bari,59,1469,A662_005900.1469,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1470,DET-114-2026-FITO,Bari,59,1470,A662_005900.1470,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1525,DET-114-2026-FITO,Bari,59,1525,A662_005900.1525,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1526,DET-114-2026-FITO,Bari,59,1526,A662_005900.1526,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1527,DET-114-2026-FITO,Bari,59,1527,A662_005900.1527,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1529,DET-114-2026-FITO,Bari,59,1529,A662_005900.1529,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1530,DET-114-2026-FITO,Bari,59,1530,A662_005900.1530,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1531,DET-114-2026-FITO,Bari,59,1531,A662_005900.1531,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1534,DET-114-2026-FITO,Bari,59,1534,A662_005900.1534,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1536,DET-114-2026-FITO,Bari,59,1536,A662_005900.1536,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1538,DET-114-2026-FITO,Bari,59,1538,A662_005900.1538,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1539,DET-114-2026-FITO,Bari,59,1539,A662_005900.1539,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1540,DET-114-2026-FITO,Bari,59,1540,A662_005900.1540,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1541,DET-114-2026-FITO,Bari,59,1541,A662_005900.1541,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1542,DET-114-2026-FITO,Bari,59,1542,A662_005900.1542,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1545,DET-114-2026-FITO,Bari,59,1545,A662_005900.1545,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1546,DET-114-2026-FITO,Bari,59,1546,A662_005900.1546,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1548,DET-114-2026-FITO,Bari,59,1548,A662_005900.1548,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1549,DET-114-2026-FITO,Bari,59,1549,A662_005900.1549,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1557,DET-114-2026-FITO,Bari,59,1557,A662_005900.1557,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1558,DET-114-2026-FITO,Bari,59,1558,A662_005900.1558,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1564,DET-114-2026-FITO,Bari,59,1564,A662_005900.1564,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1565,DET-114-2026-FITO,Bari,59,1565,A662_005900.1565,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1671,DET-114-2026-FITO,Bari,59,1671,A662_005900.1671,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1672,DET-114-2026-FITO,Bari,59,1672,A662_005900.1672,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1796,DET-114-2026-FITO,Bari,59,1796,A662_005900.1796,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1807,DET-114-2026-FITO,Bari,59,1807,A662_005900.1807,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1819,DET-114-2026-FITO,Bari,59,1819,A662_005900.1819,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1820,DET-114-2026-FITO,Bari,59,1820,A662_005900.1820,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1821,DET-114-2026-FITO,Bari,59,1821,A662_005900.1821,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1822,DET-114-2026-FITO,Bari,59,1822,A662_005900.1822,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1826,DET-114-2026-FITO,Bari,59,1826,A662_005900.1826,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1888,DET-114-2026-FITO,Bari,59,1888,A662_005900.1888,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1909,DET-114-2026-FITO,Bari,59,1909,A662_005900.1909,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1910,DET-114-2026-FITO,Bari,59,1910,A662_005900.1910,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1911,DET-114-2026-FITO,Bari,59,1911,A662_005900.1911,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1917,DET-114-2026-FITO,Bari,59,1917,A662_005900.1917,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:1918,DET-114-2026-FITO,Bari,59,1918,A662_005900.1918,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-114-2026-FITO:BARI:59:933,DET-114-2026-FITO,Bari,59,933,A662_005900.933,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:689,DET-11-2026-FITO,Triggiano,3,689,L425_000300.689,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:688,DET-11-2026-FITO,Triggiano,3,688,L425_000300.688,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:687,DET-11-2026-FITO,Triggiano,3,687,L425_000300.687,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:686,DET-11-2026-FITO,Triggiano,3,686,L425_000300.686,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:685,DET-11-2026-FITO,Triggiano,3,685,L425_000300.685,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:684,DET-11-2026-FITO,Triggiano,3,684,L425_000300.684,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:683,DET-11-2026-FITO,Triggiano,3,683,L425_000300.683,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:682,DET-11-2026-FITO,Triggiano,3,682,L425_000300.682,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:681,DET-11-2026-FITO,Triggiano,3,681,L425_000300.681,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:680,DET-11-2026-FITO,Triggiano,3,680,L425_000300.680,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:679,DET-11-2026-FITO,Triggiano,3,679,L425_000300.679,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:678,DET-11-2026-FITO,Triggiano,3,678,L425_000300.678,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:677,DET-11-2026-FITO,Triggiano,3,677,L425_000300.677,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:676,DET-11-2026-FITO,Triggiano,3,676,L425_000300.676,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:675,DET-11-2026-FITO,Triggiano,3,675,L425_000300.675,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:674,DET-11-2026-FITO,Triggiano,3,674,L425_000300.674,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:599,DET-11-2026-FITO,Triggiano,3,599,L425_000300.599,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:701,DET-11-2026-FITO,Triggiano,3,701,L425_000300.701,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:668,DET-11-2026-FITO,Triggiano,3,668,L425_000300.668,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:700,DET-11-2026-FITO,Triggiano,3,700,L425_000300.700,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:666,DET-11-2026-FITO,Triggiano,3,666,L425_000300.666,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:650,DET-11-2026-FITO,Triggiano,3,650,L425_000300.650,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:847,DET-11-2026-FITO,Triggiano,3,847,L425_000300.847,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:846,DET-11-2026-FITO,Triggiano,3,846,L425_000300.846,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:845,DET-11-2026-FITO,Triggiano,3,845,L425_000300.845,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:844,DET-11-2026-FITO,Triggiano,3,844,L425_000300.844,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:843,DET-11-2026-FITO,Triggiano,3,843,L425_000300.843,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:448,DET-11-2026-FITO,Triggiano,3,448,L425_000300.448,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:447,DET-11-2026-FITO,Triggiano,3,447,L425_000300.447,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:838,DET-11-2026-FITO,Triggiano,3,838,L425_000300.838,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:837,DET-11-2026-FITO,Triggiano,3,837,L425_000300.837,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:438,DET-11-2026-FITO,Triggiano,3,438,L425_000300.438,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:437,DET-11-2026-FITO,Triggiano,3,437,L425_000300.437,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:61,DET-11-2026-FITO,Triggiano,3,61,L425_000300.61,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:60,DET-11-2026-FITO,Triggiano,3,60,L425_000300.60,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:418,DET-11-2026-FITO,Triggiano,3,418,L425_000300.418,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:416,DET-11-2026-FITO,Triggiano,3,416,L425_000300.416,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:414,DET-11-2026-FITO,Triggiano,3,414,L425_000300.414,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:30,DET-11-2026-FITO,Triggiano,3,30,L425_000300.30,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:699,DET-11-2026-FITO,Triggiano,3,699,L425_000300.699,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:698,DET-11-2026-FITO,Triggiano,3,698,L425_000300.698,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:697,DET-11-2026-FITO,Triggiano,3,697,L425_000300.697,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:696,DET-11-2026-FITO,Triggiano,3,696,L425_000300.696,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:695,DET-11-2026-FITO,Triggiano,3,695,L425_000300.695,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:694,DET-11-2026-FITO,Triggiano,3,694,L425_000300.694,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:693,DET-11-2026-FITO,Triggiano,3,693,L425_000300.693,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:692,DET-11-2026-FITO,Triggiano,3,692,L425_000300.692,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:691,DET-11-2026-FITO,Triggiano,3,691,L425_000300.691,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:690,DET-11-2026-FITO,Triggiano,3,690,L425_000300.690,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:598,DET-11-2026-FITO,Triggiano,3,598,L425_000300.598,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:597,DET-11-2026-FITO,Triggiano,3,597,L425_000300.597,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
DET-11-2026-FITO:TRIGGIANO:3:616,DET-11-2026-FITO,Triggiano,3,616,L425_000300.616,True,Named in the determination's Allegato 1/B,A holder is named in the annex. The identity is not stored here.
